words,count
india,131
indian,109
university,62
archived,57
fromthe,57
new,43
originalon,37
south,36
may,35
history,32
years,30
government,29
metcalf,29
asian,28
population,28
million,28
world,28
first,27
economic,26
original,26
august,25
also,25
modern,24
many,24
april,22
union,21
september,20
british,20
states,20
times,20
july,19
national,19
one,19
official,18
two,18
became,18
number,18
among,18
talbot,18
hindu,17
june,17
february,17
october,17
east,16
urban,16
general,16
per,15
since,15
region,15
northern,15
political,15
increased,15
asia,15
containing,14
january,14
theindian,14
later,14
western,14
poverty,14
social,14
central,14
part,14
power,14
rural,14
state,14
nuclear,14
census,14
using,13
culture,13
language,13
life,13
military,13
pakistan,13
people,13
human,13
term,13
largest,13
trade,13
ancient,12
territories,12
solid,12
land,12
eastern,12
around,12
began,12
led,12
texts,12
last,12
cambridge,12
oxford,12
including,11
made,11
subcontinent,11
become,11
much,11
control,11
system,11
war,11
december,11
country,10
